WordID,Word,Offset,Count
305,lg,1070816,786
306,2023,1077104,769
307,03,1083256,1047
308,spatio,1091632,24
309,kinematic,1091824,61
310,modelling,1092312,114
311,testing,1093224,147
312,link,1094400,116
313,planetary,1095328,62
314,nebulae,1095824,16
315,close,1095952,274
316,binaries,1098144,72
317,david,1098720,269
318,jones,1100872,42
319,1,1101208,2375
320,amy,1120208,8
321,tyndall,1120272,1
322,2,1120280,2293
323,3,1138624,1331
324,leo,1149272,22
325,huckvale,1149448,1
326,barnabas,1149456,2
327,prouse,1149472,1
328,myfanwy,1149480,1
329,lloyd,1149488,6
330,european,1149536,34
331,southern,1149808,34
332,jodrell,1150080,3
333,bank,1150104,20
334,centre,1150264,61
335,astrophysics,1150752,51
336,isaac,1151160,12
337,newton,1151256,60
338,group,1151736,581
339,telescopes,1156384,37
340,widely,1156680,209
341,believed,1158352,34
342,central,1158624,251
343,star,1160632,383
344,binarity,1163696,2
345,plays,1163712,114
346,important,1164624,548
347,formation,1169008,398
348,evolution,1172192,510
349,aspherical,1176272,4
350,however,1176304,1317
351,observational,1186840,129
352,support,1187872,284
353,hypothesis,1190144,114
354,lacking,1191056,30
355,recent,1191296,788
356,results,1197600,2755
357,continuing,1219640,8
358,programme,1219704,10
359,morphologies,1219784,12
360,host,1219880,100
361,binary,1220680,268
362,initially,1222824,78
363,allows,1223448,536
364,us,1227736,418
365,compare,1231080,331
366,inclination,1233728,27
367,nebular,1233944,14
368,axis,1234056,120
369,plane,1235016,300
370,theoretical,1237416,530
371,expectation,1241656,89
372,will,1242368,576
373,lie,1246976,135
374,perpendicular,1248056,59
375,date,1248528,65
376,satisfied,1249048,59
377,indicating,1249520,102
378,nebula,1250336,22
379,shaped,1250512,53
380,greater,1250936,116
381,sample,1251864,380
382,modelled,1254904,40
383,search,1255224,295
384,trends,1257584,63
385,connecting,1258088,38
386,strengthening,1258392,10
387,understanding,1258472,446
388,processes,1262040,396
389,work,1265208,1235
390,objects,1275088,309
391,obvious,1277560,20
392,comparisons,1277720,81
393,current,1278368,636
394,statuses,1283456,2
395,well,1283472,1457
396,links,1295128,71
397,common,1295696,276
398,envelope,1297904,46
399,sr,1298272,288
400,2012,1300576,228
401,02,1302400,881
402,16,1309448,393
403,gaussian,1312592,253
404,regression,1314616,134
405,inverse,1315688,173
406,problems,1317072,524
407,linear,1321264,737
